LOC,GENO,TAXA,range,row,BLOCK,Y,M,h1,h2,h3,h4
12EF,PRE0386,PI660598,6,24,2,5.924720203,0.696958434,0.277,1.4,2.4,3.25
12EF,PRE0450,NSL55043,7,1,1,9.625525215,0.613167066,0.296,1.85,2.9,3.85
12EF,PRE1014,PI329707,7,2,1,10.50729241,0.64529353,0.299,1.55,2.5,3.2
12EF,PRE1203,PI383856,7,3,1,8.424453076,0.635392662,0.235,1.4,2.55,4
12EF,PRE0210,PI291234,7,4,1,7.694890519,0.648966134,0.256,1.75,3.25,3.4
12EF,PRE0224,PI563509,7,5,1,3.87055778,0.836671543,0.272,1.1,2.05,2.95
12EF,PRE0418,NSL54297,7,6,1,4.205817337,0.746463394,0.213,1,1.75,2.05
12EF,PRE0800,PI571000,7,7,1,7.632984846,0.609582967,0.257,1.55,3.25,3.75
12EF,PRE0048,PI152591,7,8,1,NA,NA,0.28,1.15,2.1,2.7
12EF,Belko2,PI506039,7,9,1,7.87751382,0.758245381,0.208,1.05,2.15,3
12EF,PRE0027,PI148088,7,10,1,5.182772995,0.786633307,0.247,1.25,1.75,2.55
12EF,PRE0671,NSL51603,7,11,1,9.514473079,0.713222542,0.285,1.55,3,3.7
12EF,PRE0301,NSL51030,7,12,1,6.522302492,0.74979467,0.143,1.25,2.3,3.2
12EF,Epo,PI506122,7,13,2,7.846009573,0.684682671,0.29,1.05,2.35,3.2
12EF,PRE0951,PI152856,7,14,2,9.253357804,0.710762971,0.263,1.15,1.8,2.45
12EF,PRE1263,PI571201,7,15,2,5.188047452,0.708102093,0.277,1.2,1.9,2.45
12EF,PacesetterBMR,commercial hybrid,7,16,2,13.7416677,0.71713847,0.349,1.6,2.55,3.3
12EF,Sorgrass,PI563222,7,17,2,6.777468916,0.720982159,0.339,1.45,2.4,3
12EF,PRE1329,NSL365759,7,18,2,8.988557284,0.755292885,0.243,1.25,2.4,2.95
12EF,PRE1261,PI571151,7,19,2,5.942300363,0.67645015,0.181,1.5,2.6,3.45
12EF,PRE0329,NSL51691,7,20,2,14.77895943,0.671769782,0.229,1.45,2.55,3.15
12EF,PRE0139,PI276790,7,21,2,10.40371484,0.655676583,0.291,1.8,2.8,4.1
12EF,PRE0413,PI660603,7,22,2,6.740552213,0.747168454,0.249,1.25,2.15,3.6
12EF,PRE0053,PI152636,7,23,2,7.719489505,0.72277077,0.241,1.25,2.2,3.25
12EF,PRE0468,PI643722,7,24,2,5.99339063,0.638704253,0.236,1.8,2.45,2.55
12EF,PRE0413,PI660603,8,1,1,6.154754518,0.675354749,0.198,1.1,2,3
12EF,ZMA_5345,PI505735,8,2,1,9.858442617,0.653330709,0.189,1.25,2.4,3.1
12EF,PRE0564,PI660588,8,3,1,5.889529283,0.751475682,0.143,1.15,2,2.8
12EF,PRE1329,NSL365759,8,4,1,4.379108143,0.788813612,0.184,1.05,2,3
12EF,PRE0498,NSL55743,8,5,1,4.982473653,0.794879319,0.194,1.2,2.3,3.1
12EF,PRE0808,PI267366,8,6,1,8.329031659,0.657106737,0.165,1.1,2.15,2.95
12EF,PRE0212,PI291237,8,7,1,NA,NA,0.191,1.3,2.45,3.7
12EF,PRE0295,NSL50601,8,8,1,3.992658528,0.750398782,0.195,1.05,1.6,3.05
12EF,PRE1155,PI330095,8,9,1,8.696849603,0.755342234,0.265,1.5,2.9,3.65
12EF,PRE0241,NSL52313,8,10,1,6.36055045,0.693256793,0.204,1.25,2.4,3.4
12EF,PRE0030,PI148097,8,11,1,3.199299528,0.729994132,0.147,1.35,2.1,2.95
12EF,PRE0947,PI185458,8,12,1,NA,NA,0.122,1.35,2.1,2.85
12EF,PRE1184,PI329686,8,13,2,9.753998703,0.695114177,0.264,1.15,1.9,2.8
12EF,PRE1124,PI651141,8,14,2,7.915925474,0.703081349,0.302,1.15,1.95,2.8
12EF,PRE0970,PI297117,8,15,2,6.773364446,0.727790392,0.244,1.1,1.65,2.45
12EF,MA56,PI508367,8,16,2,7.903521969,0.757447212,0.172,1.05,1.85,2.3
12EF,PRE1215,NSL365720,8,17,2,4.566010445,0.81202446,0.203,1.05,1.55,2.45
12EF,PRE0235,PI267614,8,18,2,12.69218479,0.675405806,0.257,1.5,2.25,3.05
12EF,PRE0299,NSL50827,8,19,2,6.157432924,0.711300863,0.155,1.05,1.6,2.75
12EF,PRE1440,PI522160,8,20,2,7.076800657,0.557593505,0.115,1.05,1.65,2.7
12EF,PRE1321,NSL365751,8,21,2,7.215877272,0.630917465,0.189,1.15,1.7,2.25
12EF,ZMA_5356,PI505737,8,22,2,7.965199119,0.687337009,0.227,1.5,2.7,3.3
12EF,PRE0036,PI148105,8,23,2,10.24183134,0.661034311,0.299,1.75,2.95,2.95
12EF,PRE0790,NSL50350,8,24,2,6.983584737,0.697752932,0.158,1.15,2.05,3.25
12EF,PRE0420,PI570969,9,1,1,7.688756961,0.639502773,0.186,1.05,1.7,2.2
12EF,PRE0066,PI152748,9,2,1,8.856762695,0.675013386,0.201,1.1,2.3,3.4
12EF,PRE0214,PI291239,9,3,1,3.63574739,0.808224988,0.217,1.1,2.25,3.1
12EF,PRE0329,NSL51691,9,4,1,11.06892649,0.698656304,0.146,1.1,2.2,3.1
12EF,PRE0373,PI660602,9,5,1,7.073429763,0.770398354,0.29,1.35,2.3,3.1
12EF,ZMA_5327,PI505730,9,6,1,6.583590789,0.782108169,0.193,1.25,2.3,3.2
12EF,PRE0240,NSL55665,9,7,1,9.960203667,0.682794546,0.242,1.4,2.65,3.4
12EF,PRE0317,PI660571,9,8,1,6.86252989,0.72420699,0.167,1.25,2.1,3.2
12EF,PRE1070,PI660630,9,9,1,4.395806163,0.735010419,0.194,1,1.3,1.55
12EF,PRE0042,NSL52312,9,10,1,8.442968483,0.714981231,0.222,1.05,1.85,2.2
12EF,PRE1262,PI571191,9,11,1,13.10823433,0.701007171,0.262,1.45,2.5,3.45
12EF,PRE0972,PI152857,9,12,1,3.209161919,0.764488515,0.182,1.2,2.15,2.25
12EF,PRE0563,NSL51962,9,13,2,8.154677684,0.655891734,0.186,1.4,2.05,2.75
12EF,PRE1025,PI329915,9,14,2,7.272955262,0.676945633,0.271,1.4,2.1,2.95
12EF,PRE1476,NSL365799,9,15,2,6.953811234,0.644321795,0.153,1.2,1.9,2.35
12EF,PRE1014,PI329707,9,16,2,5.139761247,0.690163049,0.228,1.35,2.15,2.45
12EF,PRE1441,PI524948,9,17,2,10.25576366,0.679430248,0.282,1.35,2.4,2.95
12EF,PRE0319,PI267653,9,18,2,9.867494004,0.702582074,0.189,1.2,2.15,2.65
12EF,ZMA_5345,PI505735,9,19,2,10.97051375,0.706076228,0.285,1.3,2,3
12EF,PRE0058,PI152705,9,20,2,9.26158506,0.660158991,0.217,1.35,1.95,3.4
12EF,PRE0029,PI148093,9,21,2,9.773905802,0.720382445,0.29,1.6,2.65,3.4
12EF,PRE0279,NSL50595,9,22,2,6.793664795,0.765978192,0.237,1.3,1.75,2.35
12EF,Mila,PI506058,9,23,2,5.654659479,0.710771681,0.203,1.15,2.4,3.25
12EF,PRE1047,PI329311,9,24,2,10.10563814,0.671973677,0.256,1.6,2.7,3.65
12EF,PRE1322,NSL365752,10,1,1,8.918496026,0.665475904,0.163,0.9,1.95,2.6
12EF,PRE0004,PI147829,10,2,1,6.312301017,0.632600975,0.248,1.25,2.6,3.7
12EF,PRE0003,PI147828,10,3,1,7.549814248,0.803948032,0.253,1.45,2.65,3.9
12EF,Grassl,PI154844,10,4,1,8.945027288,0.752485794,0.211,1.5,2.65,3.6
12EF,PRE1074,PI660631,10,5,1,3.068623523,0.80816487,0.208,1,1.4,1.6
12EF,GS109,PI506037,10,6,1,8.510107717,0.718347781,0.139,1.1,2,2.8
12EF,PRE0525,NSL50688,10,7,1,6.613082619,0.776754743,0.235,1.15,2.2,3.05
12EF,PRE0196,PI248313,10,8,1,7.422584073,0.53597684,0.187,1.5,2.6,3.7
12EF,PRE0690,PI267654,10,9,1,10.81444315,0.668113361,0.232,1.35,2.1,2.7
12EF,PRE0265,NSL50483,10,10,1,6.467994432,0.696739789,0.125,1.25,2.15,2.75
12EF,PRE0391,PI647743,10,11,1,7.171975356,0.718473923,0.22,1.45,2.25,2.95
12EF,PRE0211,PI291236,10,12,1,5.471032593,0.615225434,0.171,1.7,3,3.3
12EF,PRE0091,PI156143,10,13,2,3.778624004,0.645668739,0.214,1.4,2.35,3.35
12EF,PRE0023,PI148084,10,14,2,11.58616542,0.674060668,0.257,1.7,2.45,3.85
12EF,PRE0348,PI660601,10,15,2,5.75589945,0.730127275,0.224,1.5,2.3,3.5
12EF,PacesetterBMR,commercial hybrid,10,16,2,10.93196316,0.68725207,0.29,1.45,2.55,3.45
12EF,PRE0043,PI151198,10,17,2,2.897146552,0.767137548,0.194,0.9,1.75,2.5
12EF,PRE0214,PI291239,10,18,2,11.55153711,0.756276118,0.203,1.15,2.2,3.05
12EF,PRE0007,PI147838,10,19,2,5.077238016,0.740306022,0.243,1.05,1.8,2.5
12EF,Grassl,PI154844,10,20,2,14.05860095,0.64582688,0.282,1.6,2.4,3.4
12EF,PRE0480,NSL55734,10,21,2,6.406767546,0.729649441,0.246,1.2,2.1,2.8
12EF,PRE1076,PI660632,10,22,2,4.488325622,0.777180223,0.195,1.1,1.45,1.65
12EF,Belko2,PI506039,10,23,2,9.401882038,0.68883344,0.134,1.05,1.8,2.75
12EF,PRE0322,PI660580,10,24,2,8.004490917,0.758735188,0.193,1.2,2.1,2.85
12EF,CHRFS9,commercial hybrid,11,1,1,11.46335054,0.588317874,0.251,1.7,2.85,3.6
12EF,PRE0029,PI148093,11,2,1,16.66994659,0.634580449,0.289,1.7,3,4.15
12EF,PRE1039,PI330887,11,3,1,5.387386921,0.71583114,0.253,1.45,2.6,4.15
12EF,PacesetterBMR,commercial hybrid,11,4,1,9.168686531,0.785057189,0.261,1.3,2.65,3.15
12EF,PRE1211,NSL102183,11,5,1,5.067875349,0.768808163,0.137,1.05,2.1,2.75
12EF,PRE0165,PI276828,11,6,1,5.098418318,0.746892599,0.178,1.05,2.35,2.85
12EF,PRE0370,PI660595,11,7,1,8.763980599,0.772418819,0.181,1.5,2.4,2.95
12EF,PRE0239,PI570995,11,8,1,3.546705158,0.727886116,0.183,0.95,1.75,2.2
12EF,PRE1040,PI330897,11,9,1,7.541565186,0.717123238,0.208,1.3,2.4,2.4
12EF,PRE0309,PI152594,11,10,1,7.818101254,0.746226515,0.123,1.05,2.2,2.55
12EF,PRE1124,PI651141,11,11,1,4.798420828,0.75456715,0.242,1.1,2.15,2.7
12EF,PRE1442,PI525049,11,12,1,7.82742318,0.724750922,0.228,1.25,2.45,3.1
12EF,PRE0333,PI267650,11,13,2,7.384597054,0.633396859,0.23,1.5,2.7,3.65
12EF,PRE0689,PI267412,11,14,2,2.668098461,0.653576938,0.226,1.4,2.55,3.65
12EF,CHRSS2,commercial hybrid,11,15,2,9.27077309,0.618336709,0.274,1.75,2.6,3.7
12EF,PRE0217,PI563507,11,16,2,5.525721007,0.61137923,0.19,2,3.3,3.4
12EF,PRE1160,PI330734,11,17,2,5.506462395,0.748800223,0.208,1,2,2.6
12EF,PRE0277,PI562969,11,18,2,10.18300039,0.70867883,0.186,1.3,2.2,2.9
12EF,PRE0391,PI647743,11,19,2,3.507237445,0.718100588,0.122,1.15,1.95,2.85
12EF,ZMA_5288,PI505716,11,20,2,NA,NA,0.186,1.4,2.6,3.3
12EF,PRE1246,PI660620,11,21,2,8.083618182,0.703382851,0.158,0.95,1.85,2.6
12EF,PRE0237,PI570719,11,22,2,8.904020938,0.624271207,0.337,1.25,1.95,2.65
12EF,PRE0261,PI660556,11,23,2,8.036610386,0.734018743,0.197,1.15,2.15,2.7
12EF,PRE1104,NSL365709,11,24,2,6.759688186,0.674008021,0.206,1.1,2.15,2.7
